"Gouv.","Lon","Lat","S/S","Adresse","Localite","Shop ","Cafeteria","Lavage","24h/24","Restaurant","Carte pétrolière","Gasoil 50","Pétrole bleu","Gaz Bouteille","GPL","Vidange","Mélange 2T","gasoil","Lubrifiants","pneumatique","diagnostique"
"Kef","8.630530","35.844825","DJERISSA","CENTRE VILLE","DJERISSA","","","Oui","Oui","","Oui","","Oui","","","Oui","Oui","Oui","Oui","",""
"Kef","8.590646","36.342648","TOUIREF","ROUTE DE JENDOUBA","TOUIREF","","","Oui","Oui","","Oui","Oui","Oui","","","Oui","Oui","Oui","Oui","",""
"Kef","8.895929","35.889729","EL KSOUR","EL KSOUR","DAHMANI","","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"Mahdia","10.552357","35.347376","SOUASSI","CENTRE VILLE","SOUASSI","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","","","Oui","Oui","Oui","Oui","",""
"Mahdia","10.320308","35.489010","OULED CHAMEKH","CENTRE VILLE","OULED CHAMEKH","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","","","Oui","Oui","Oui","Oui","",""
"Mahdia","10.279477","35.184344","MENZEL HACHED","CENTRE VILLE","MENZEL HACHED","","Oui","Oui","Oui","","Oui","Oui","Oui","","","","Oui","Oui","Oui","",""
"Mahdia","10.931969","35.381117","SIDI ALOUENE","CENTRE VILLE","SIDI ALOUENE","","","Oui","Oui","","Oui","Oui","Oui","","","Oui","Oui","Oui","Oui","",""
"Mahdia","11.046364","35.474104","REJICHE","ROUTE DE MAHDIA","REJICHE","","Oui","Oui","Oui","","Oui","Oui","Oui","","","Oui","Oui","Oui","Oui","",""
"Mahdia","10.976846","35.414393","KSOUR ESSEF (ROUTE D'EL DJEM)","ROUTE D'EL DJEM","KSOUR ESSEF","","Oui","Oui","Oui","","Oui","Oui","Oui","","","Oui","Oui","Oui","Oui","",""
"Mahdia","10.696304","35.313573","EL DJEM","ROUTE DE M'SAKEN","EL DJEM","Oui","Oui","Oui","Oui","","Oui","Oui","","","","Oui","Oui","Oui","Oui","",""
"Mahdia","11.084878","35.249818","CHEBBA","ROUTE DE KSOUR ESSEF","CHEBBA","","","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"Mahdia","11.039367","35.167468","MELLOULECH","ROUTE DE CHEBBA","MELLOULECH","","Oui","Oui","Oui","","Oui","Oui","Oui","","","Oui","Oui","Oui","Oui","",""
"Mahdia","11.000955","35.408935","KSOUR ESSEF ( ROUTE DE SFAOui)","ROUTE MC 82","KSOUR ESSEF ","","Oui","Oui","Oui","","Oui","Oui","Oui","","","Oui","Oui","Oui","Oui","",""
"Manouba","10.117274","36.803350","DEN DEN","CENTRE VILLE","DEN DEN","Oui","Oui","Oui","Oui","","Oui","Oui","","Oui","","Oui","","Oui","Oui","",""
"Manouba","9.877787","36.711525","BORJ EL AMRI","ROUTE GP5","BORJ EL AMRI","","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"Manouba","10.102916","36.816429","KSAR SAID","ROUTE DE OUED ELLIL","KSAR SAID","","","Oui","Oui","","Oui","Oui","Oui","","","Oui","Oui","Oui","Oui","",""
"Medenine","10.486968","33.348752","MEDENINE","CENTRE VILLE","MEDENINE","","","Oui","Oui","","Oui","Oui","","","","Oui","","Oui","Oui","",""
"Medenine","11.217315","33.140028","BEN GUERDANE","CENTRE VILLE","BEN GUERDANE","","","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","","Oui","Oui","",""
"Medenine","10.858800","33.872056","HOUMT SOUK","CENTRE VILLE","DJERBA","","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"Medenine","10.614902","33.363933","HASSI AMOR","CENTRE VILLE","HASSI AMOR","","","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"Medenine","10.731705","33.697262","JORF DJERBA","ROUTE DE GABES","JORF DJERBA","","","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"Medenine","10.947892","33.627252","EL KANTARA ZARZIS","ROUTE DE JERBA","EL KANTARA ZARZIS","","Oui","Oui","Oui","Oui","Oui","Oui","","","","Oui","","Oui","Oui","",""
"Medenine","11.092181","33.498091","ZARZIS","CENTRE VILLE","ZARZIS","","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"Medenine","10.933331","33.839084","SEDGHIANE","DJERBA SEDGHIANE","DJERBA","Oui","Oui","Oui","Oui","","Oui","Oui","","Oui","Oui","Oui","","Oui","Oui","",""
"Monastir","10.827747","35.771356","MONASTIR","CENTRE VILLE","MONASTIR","","Oui","Oui","Oui","","Oui","Oui","Oui","","","Oui","Oui","Oui","Oui","",""
"Monastir","10.791877","35.692583","BEMBLA","CENTRE VILLE","BEMBLA","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","","","Oui","Oui","Oui","Oui","",""
"Monastir","10.874314","35.661039","KSAR HELAL","ROUTE BEMBLA - MOKNINE","KSAR HELAL","","Oui","Oui","Oui","","Oui","Oui","","Oui","","Oui","Oui","Oui","Oui","",""
"Monastir","10.896202","35.637485","MOKNINE","CENTRE VILLE","MOKNINE","Oui","","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"Monastir","10.752559","35.610616","JEMMAL","ROUTE DE ZARMEDINE","JEMMAL","Oui","","Oui","Oui","","Oui","Oui","Oui","","","Oui","Oui","Oui","Oui","",""
"Monastir","10.819285","35.630465","TOUZA","ROUTE MOKNINE-JEMMEL","TOUZA","","","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"Monastir","10.667566","35.715180","OUERDANINE","ROUTE DE M'SAKEN","OUERDANINE","","","Oui","Oui","","Oui","Oui","Oui","","","Oui","Oui","Oui","Oui","",""
"Monastir","10.915396","35.532920","SIDI BENNOUR","ROUTE DE MAHDIA","SIDI BENNOUR","","Oui","Oui","Oui","","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","Oui","",""
"Nabeul","10.730737","36.457619","NABEUL","CENTRE VILLE","NABEUL","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","","","Oui","Oui","Oui","Oui","",""
"Nabeul","11.007963","36.923968","AZMOUR","CENTRE VILLE","AZMOUR","","","","Oui","","Oui","Oui","Oui","Oui","","","Oui","Oui","Oui","",""
"Nabeul","10.499663","36.598350","GROMBALIA","CENTRE VILLE","GROMBALIA","","","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"Nabeul","10.858336","36.572840","KORBA","CENTRE VILLE","KORBA","","Oui","Oui","Oui","","Oui","Oui","Oui","","","Oui","Oui","Oui","Oui","",""
"Nabeul","10.514692","36.690180","SOLIMAN","ROUTE DE BENI KHALLED","SOLIMAN","","","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"Nabeul","10.801129","36.473330","MAAMOURA","CENTRE VILLE","MAAMOURA","","","","Oui","","Oui","Oui","","Oui","","","Oui","Oui","Oui","",""
"Nabeul","10.673052","36.426981","EL MRAZKA","ROUTE DE NABEUL","HAMMAMET","","Oui","Oui","Oui","","Oui","Oui","Oui","","","Oui","Oui","Oui","Oui","",""
"Nabeul","10.848693","36.896692","TOZOGHRANE","ROUTE DE HAOUARIA","TOZOGHRANE","","","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"Nabeul","11.048776","36.971651","DAR ALLOUCHE ","CENTRE VILLE","DAR ALLOUCHE ","","","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"Nabeul","10.612144","36.827632","DOUELA","POINT DE RAVITAILLEMENT ROUTIER DOUALA","NABEUL","","","","","","","","Oui","Oui","","","","Oui","","",""
"Nabeul","10.558321","36.522571","BOUARGOUB","ROUTE DE GROMBALIA","BOUARGOUB","","Oui","Oui","Oui","Oui","Oui","Oui","Oui","","","Oui","","Oui","Oui","",""
"Nabeul","10.589514","36.653068","BENI KHALLED ","CENTRE VILLE","BENI KHALLED ","","","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"Nabeul","10.973224","37.032534","MENZEL SALEM","ROUTE DE HAOUARIA","MENZEL SALEM","","","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"Nabeul","11.001235","36.783179","MENZEL TEMIME","ROUTE DE KELIBIA","MENZEL TEMIME","","","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"SfaOui","10.069507","34.298917","SKHIRA","ROUTE DE GABES","SKHIRA","","","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"SfaOui","10.211459","34.493360","GHRAIBA","CENTRE VILLE","GHRAIBA","","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"SfaOui","10.093529","34.739416","BIR ALI BEN KHELIFA","ROUTE DE SKHIRA","BIR ALI BEN KHELIFA","","","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"SfaOui"," 11.203380","34.705836","KERKENNAH","ERRAMLA","KERKENNAH","","","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"SfaOui","10.371581","34.969740","MENZEL CHAKER","ROUTE GP13 KM 45","MENZEL CHAKER","","","Oui","Oui","","Oui","Oui","Oui","","","Oui","Oui","Oui","Oui","",""
"SfaOui","10.762053","34.753496","SFAOui GP1","ROUTE DE TUNIS KM 1","SFAOui","","","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"SfaOui","10.759861","34.747318","TENIOUR","ROUTE DE TUNIS KM 0.5","SFAOui","","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"SfaOui","10.751826","34.733933","PIC-VILLE","PIC-VILLE","SFAOui","","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"SfaOui","10.906735","35.021178","JEBENIANA","ROUTE DE MAHDIA","JEBENIANA","","","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
